1000
 ID       Arrival     CPU burst     Priority 
373        1118           19           1   
374        1120            5           6   
375        1125           12          14   
376        1126            9           2   
377        1130            8          13   
378        1132           30          20   
379        1136            4          12   
380        1138           12           5   
381        1143           12          17   
382        1148           11           7   
383        1153            5          15   
384        1154           12           1   
385        1157           22           2   
386        1158            2          18   
387        1161            3           9   
388        1162            6          20   
389        1165           11           7   
390        1167           24          18   
391        1168           27          20   
392        1172           17           6   
393        1177           25           7   
394        1178           19          20   
395        1181           25          11   
396        1182           26           7   
397        1184            4          16   
398        1187           25          11   
399        1189           12          18   
400        1193            8           5   
401        1196           14           5   
402        1199           11           8   
403        1203           23           5   
404        1204            3           3   
405        1205           15          11   
406        1206           18          16   
407        1209           17           1   
408        1212           29          12   
409        1217           14           6   
410        1219           23           6   
411        1223           12           8   
412        1224            4           8   
413        1225           25           9   
414        1228           14          13   
415        1233           11          16   
416        1235            6           4   
417        1239           11          17   
418        1240            8          14   
419        1242           12          10   
420        1243           21          13   
421        1248            1          18   
422        1249            6          12   
423        1252           25          16   
424        1254           27           3   
425        1255           25           5   
426        1260           19          11   
427        1264           30           8   
428        1268           15          14   
429        1270           23          16   
430        1271           15          14   
431        1274           12          17   
432        1277            3           9   
433        1280            1           7   
434        1281           30          15   
435        1284           20           5   
436        1285           11           5   
437        1288           24          20   
438        1289           26           6   
439        1292           30          13   
440        1295           27          14   
441        1296            6           5   
442        1300            8           6   
443        1305           16           4   
444        1308           25           8   
445        1310           22          19   
446        1315           13          15   
447        1319            7           8   
448        1324           28          20   
449        1328           29           1   
450        1332           20          20   
451        1334           16          15   
452        1335           20           6   
453        1339           28           1   
454        1340            5           9   
455        1343           13          15   
456        1344           14          17   
457        1346           21          19   
458        1349           19          17   
459        1352           11          13   
460        1353            1          20   
461        1356           24          20   
462        1358           16           9   
463        1363            4          11   
464        1368           18          17   
465        1369            6           8   
466        1372            2          10   
467        1377            2           7   
468        1380           30           2   
469        1384            3           7   
470        1389           21          12   
471        1390           10           8   
472        1395            3           1   
473        1396            1          11   
474        1401           27          18   
475        1403           28          12   
476        1404           12          19   
477        1409           30          18   
478        1412           18           5   
479        1415           19          17   
480        1420            6           3   
481        1423           11          10   
482        1425            2          13   
483        1430           23           3   
484        1432           11           7   
485        1434           19          20   
486        1439           10          12   
487        1440           13          12   
488        1441           20           8   
489        1444           19           4   
490        1449           27          16   
491        1451            8          20   
492        1455            8           2   
493        1460           30           5   
494        1463           15           7   
495        1467           20           2   
496        1470           21          16   
497        1473           18           6   
498        1478           10           5   
499        1481           16           2   
500        1486            8          16   
501        1489           19           8   
502        1492            9           3   
503        1497           22          15   
504        1501            8          16   
505        1502           13          11   
506        1504           24          10   
507        1509            3           1   
508        1513           24           2   
509        1517           23           8   
510        1518           16          10   
511        1522           28          19   
512        1527            6           5   
513        1529           20          12   
514        1534           11           1   
515        1537           28          17   
516        1542           27           3   
517        1543            5          19   
518        1544           27          10   
519        1547           12          16   
520        1552           30          10   
521        1557            4           3   
522        1559           16          18   
523        1562            7          19   
524        1563           30          15   
525        1565           15          20   
526        1567           29          10   
527        1571            4          14   
528        1575            1           7   
529        1580           25           1   
530        1582           15          19   
531        1586            1          16   
532        1587           18           2   
533        1590           13           6   
534        1594           27           2   
535        1598           21          14   
536        1601            9          20   
537        1605           17           6   
538        1609            9          10   
539        1613            2          15   
540        1618            5          17   
541        1623           25          13   
542        1625           15          18   
543        1628            3           2   
544        1633           18           7   
545        1637           12          17   
546        1639           22          20   
547        1643           21           4   
548        1644           29           5   
549        1645           22           4   
550        1649           11          10   
551        1653            2           1   
552        1654           18           7   
553        1659           25           3   
554        1661           16          11   
555        1664           12          11   
556        1668           20          19   
557        1672            8           4   
558        1676           23          15   
559        1679           17           3   
560        1680           10           6   
561        1683           20           7   
562        1685           13          11   
563        1689           29           8   
564        1691           24           6   
565        1696            9          16   
566        1699           11          11   
567        1704           19           1   
568        1707           22          12   
569        1708            5           8   
570        1710           14          14   
571        1714           17          11   
572        1719           10          18   
573        1723           14          13   
574        1726           28           1   
575        1731           10          10   
576        1733            3           6   
577        1736           25          10   
578        1740           30           1   
579        1745           17          19   
580        1747           19           3   
581        1749           10           5   
582        1753           30          11   
583        1756           21          19   
584        1758           10          15   
585        1761           23          20   
586        1763           17          15   
587        1767           17          18   
588        1771           20           7   
589        1775           20           3   
590        1779           24          18   
591        1781            8           8   
592        1783           10          20   
593        1784           11          14   
594        1786            5           8   
595        1787           28          11   
596        1791           15          18   
597        1795           11          11   
598        1797            2          13   
599        1799           22          19   
600        1802            3           4   
601        1805            7           3   
602        1807           12          15   
603        1809           13          11   
604        1814            9          15   
605        1818           20          11   
606        1822           30          18   
607        1825           19          19   
608        1828           17          19   
609        1833            9          12   
610        1836           13           8   
611        1838           26           8   
612        1840            5          20   
613        1845           30           3   
614        1849           27           8   
615        1850           29           9   
616        1851           17           7   
617        1856           14          16   
618        1857           17          11   
619        1862           29           5   
620        1864            2          14   
621        1869            1           3   
622        1874            4          20   
623        1875           24           8   
624        1880           18           2   
625        1884            7          16   
626        1888           18          11   
627        1890            6           7   
628        1895           19          14   
629        1898           14           9   
630        1903           27          12   
631        1907           24           9   
632        1912            1           3   
633        1913           27          11   
634        1916            4          15   
635        1919           24           8   
636        1924           24          10   
637        1928           27          20   
638        1929            7           7   
639        1933           15          19   
640        1936            2           1   
641        1939           17          20   
642        1942           11           8   
643        1943            5           8   
644        1946            6           4   
645        1950            8           6   
646        1955            3          12   
647        1959           15          12   
648        1961            3           5   
649        1965           25          12   
650        1970           17          17   
651        1974           27          16   
652        1977            4           1   
653        1980           26          19   
654        1985           25           4   
655        1986           25          20   
656        1988           25          20   
657        1993           19           2   
658        1996           10           3   
659        2000            3          16   
660        2001           11           5   
661        2004            8           5   
662        2008           24          13   
663        2011           24          10   
664        2012           24          15   
665        2017           15          10   
666        2018            3          12   
667        2020           11          16   
668        2022           14           5   
669        2024           24          16   
670        2025           14           4   
671        2029           12          12   
672        2030           17           2   
673        2031           28           4   
674        2034           15          13   
675        2039           29          11   
676        2042           17          11   
677        2043            9           9   
678        2048           30          16   
679        2053           26          11   
680        2055           29          13   
681        2057           26          11   
682        2061            3          13   
683        2065           28           9   
684        2069           26           8   
685        2074            1           5   
686        2077           29           5   
687        2078           27          12   
688        2080           26          11   
689        2082           14           5   
690        2084           15          15   
691        2087           30          17   
692        2091            6          16   
693        2095            6           3   
694        2097           30          20   
695        2101           17          20   
696        2103           13          12   
697        2107           23           5   
698        2111           14          12   
699        2116           26          20   
700        2120           22          17   
701        2121           19           3   
702        2122           10          12   
703        2126            4          14   
704        2127           19          19   
705        2128           17          18   
706        2130           21           9   
707        2131            3           1   
708        2134           28           6   
709        2136           12          18   
710        2139           20          18   
711        2141           10           9   
712        2144           16          17   
713        2147           29           6   
714        2151           22          12   
715        2152           10          16   
716        2157           26          11   
717        2158           15           9   
718        2161           20          18   
719        2164           10          19   
720        2169           23          11   
721        2170            8          17   
722        2171           20           3   
723        2174           16           2   
724        2177           15          12   
725        2182           10           6   
726        2187           15           1   
727        2189            1           9   
728        2190           12          11   
729        2192           25           3   
730        2193           13           7   
731        2194           30          18   
732        2198           17           1   
733        2200           18          17   
734        2204           12           6   
735        2206           21          14   
736        2209           23           3   
737        2210           21          17   
738        2213           22          12   
739        2214           20          13   
740        2217           11           9   
741        2221            5           4   
742        2225           27          20   
743        2229           21           4   
744        2233            6          16   
745        2235            5          11   
746        2238           19          13   
747        2243           19           5   
748        2245           21           8   
749        2247            5           4   
750        2248           25           9   
751        2252           22           4   
752        2257           30          14   
753        2260            2          11   
754        2265           28           8   
755        2266           22          15   
756        2271           22          20   
757        2276           25          14   
758        2277           13           9   
759        2281            7          14   
760        2282           18           6   
761        2284            3          18   
762        2285           22           8   
763        2286           24           6   
764        2291           21           5   
765        2295           17          12   
766        2297            2          16   
767        2298            2          13   
768        2301           15           7   
769        2304           22           4   
770        2308            8          20   
771        2311            7           1   
772        2315           25           2   
773        2316           24          13   
774        2318            7          13   
775        2322            7          11   
776        2324            5           3   
777        2326            1          13   
778        2331           13           4   
779        2334           29           1   
780        2337            7          14   
781        2340           20           4   
782        2343            1           4   
783        2347           12           5   
784        2352            8           1   
785        2357           18          11   
786        2361           22          16   
787        2362            3           3   
788        2367            6          16   
789        2372           27           5   
790        2376            7          18   
791        2380           25           6   
792        2385            1          14   
793        2390           14          20   
794        2392           28           6   
795        2395           25           3   
796        2400           30           6   
797        2401           14          13   
798        2402           13           3   
799        2407           18          20   
800        2409            7           5   
801        2413            9           4   
802        2418           25           1   
803        2421           30          14   
804        2426            4           2   
805        2431           18          14   
806        2432           11          17   
807        2437            1           7   
808        2439           26           3   
809        2443           27           2   
810        2446           13          17   
811        2447           19          20   
812        2451           11          15   
813        2453           17          12   
814        2458           30          13   
815        2463            4          12   
816        2465            1          20   
817        2466            9          14   
818        2468            3           7   
819        2471            3           1   
820        2475            4           2   
821        2479            4           8   
822        2481            1           5   
823        2484           20          13   
824        2485            7          18   
825        2486           22           6   
826        2489           10          13   
827        2493           27           3   
828        2498            6          16   
829        2500           12           4   
830        2505           29           1   
831        2507           16           6   
832        2508           29          10   
833        2509            7          17   
834        2514           29          10   
835        2518           13          15   
836        2523            8           1   
837        2526           26          12   
838        2530            8           3   
839        2532           15          11   
840        2535           23          15   
841        2537           11           8   
842        2538           30          13   
843        2539            8           5   
844        2543           27          12   
845        2545           14          15   
846        2547           12          16   
847        2549           16          12   
848        2553           20           6   
849        2556           22          20   
850        2560           24           2   
851        2563           16           8   
852        2566           17           2   
853        2570           12          18   
854        2573           29           5   
855        2577           12          16   
856        2579           19          10   
857        2583           20          14   
858        2584           29          11   
859        2586            1           6   
860        2591           16          19   
861        2596           27           9   
862        2597           23          11   
863        2598            8          14   
864        2599           15           4   
865        2602            5          16   
866        2605            8          10   
867        2609           29          12   
868        2614           18           3   
869        2619           14          18   
870        2623           25           3   
871        2625           29          19   
872        2626           20          16   
873        2631            4          19   
874        2635           16          14   
875        2640           11           3   
876        2642           22           1   
877        2643            4          18   
878        2648            8          18   
879        2651           12          19   
880        2653           20          12   
881        2655            8           6   
882        2660           24          20   
883        2661            9          11   
884        2664           15          12   
885        2667           27          18   
886        2670           25           8   
887        2671           24          17   
888        2674           12          20   
889        2675            4          13   
890        2680           21          19   
891        2681           27           2   
892        2685           14          13   
893        2688            3           4   
894        2690            5          13   
895        2695           27           1   
896        2696           26           6   
897        2699           21          12   
898        2701           18          11   
899        2705            9          10   
900        2710           26          17   
901        2714            6          11   
902        2719           26           6   
903        2720           12          16   
904        2723           19           4   
905        2727           25          17   
906        2729           15          12   
907        2734           13          11   
908        2736            6          13   
909        2738            9          13   
910        2743           18          15   
911        2745           18           9   
912        2749           29           5   
913        2752           27          11   
914        2753           16          11   
915        2755           19           8   
916        2759           16          17   
917        2763           22          11   
918        2768           24          14   
919        2771            9          16   
920        2776           25           2   
921        2778           14          13   
922        2782            6           6   
923        2787           30           1   
924        2788           23           1   
925        2789            7          10   
926        2791            5           4   
927        2793           25           3   
928        2798           19           3   
929        2799            3          15   
930        2803            8          18   
931        2807           28          16   
932        2810            9          12   
933        2812           16          14   
934        2815            5          19   
935        2820           26          11   
936        2823            9           4   
937        2828           30           5   
938        2830           18           3   
939        2832           10          12   
940        2833            5          16   
941        2838           14           8   
942        2840           26          17   
943        2843           26          17   
944        2848           15           1   
945        2851            5          10   
946        2855           14          20   
947        2858           28           7   
948        2859           19          13   
949        2862           13          16   
950        2863           15          18   
951        2867           19          10   
952        2869           14          12   
953        2871           13          11   
954        2874           26           3   
955        2878           20          20   
956        2882            8          10   
957        2883           26          16   
958        2886           23          13   
959        2887            5          11   
960        2891            2           8   
961        2896           27          20   
962        2898            1           3   
963        2902           14           9   
964        2903           14          12   
965        2906           16          17   
966        2907            2          13   
967        2909           23           3   
968        2913           24          14   
969        2917           14          11   
970        2919           27          16   
971        2922            1          16   
972        2925            8           4   
973        2928            2           9   
974        2931           21          13   
975        2936           22          14   
976        2938           30           3   
977        2942           16           4   
978        2945            9           8   
979        2947           12           2   
980        2950            1           7   
981        2954            4          15   
982        2959           22          17   
983        2961           12          19   
984        2964           25          11   
985        2966           28          17   
986        2968           26          19   
987        2973           14           7   
988        2976            1          13   
989        2979           23          10   
990        2984            5           5   
991        2988            1           3   
992        2989           13           1   
993        2992            9          12   
994        2996           27           8   
995        2999            6          16   
996        3004            4           6   
997        3009           11          11   
998        3013            2           7   
999        3014            6          20   
1000        3019           11           8   
